toi,tid,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,koi_disposition
6939.01,88929544,89.372227,17.772453,-1.846,-10.3,2460282.145,1.9207699,1.448,8247,13.6773,868.038,1512,13.3117,862.172,6039.4,4.2,1.38,CANDIDATE
694.01,55383975,77.383578,-64.026083,6.468,25.987,2458366.772,48.0511988,4.3070574,14503.36049,12.8456117,12.5271592,479.8250298,11.2595,223.882,5354.96,4.45894,1.0417,FALSE POSITIVE
6940.01,421006834,111.870696,11.466281,-81.454,-28.691,2460285.535,0.3052608,0.309,1620,2.03448,196.562,1043,12.5437,51.7699,3338,4.85,0.37,CANDIDATE
6941.01,74389253,83.554033,26.679569,3.891,-5.757,2460280.357,2.9371797,4.009,6422,15.95,2484.67,1966,13.4258,1353.76,6610,3.91,2.17,CANDIDATE
6942.01,238506223,90.951009,19.213328,1.745,-18.443,2460266.428,11.2320736,2.549,5174,7.84543,136.426,952,10.9542,255.34,6234,4.47,1.06,CANDIDATE
6943.01,262137985,106.522483,10.732296,-2.171,3.032,2460285.452,5.6906792,5.548,3155,15.1551,1362.1,1692,12.3361,1581.02,6749,3.63,3.03,CANDIDATE
6944.01,421005422,111.928044,9.96955,-37.003,-5.961,2460271.568,12.3027503,3.596,1304,2.60986,46.2908,726,10.7077,121.757,5181.1,4.62,0.76,CANDIDATE
6945.01,392022763,104.101096,19.321622,-2.041,-4.362,2460271.368,14.8547783,5.931,8228,11.426,180.979,1021,12.9455,890.043,6397,4.26,1.39,CANDIDATE
6946.01,14435301,124.713379,20.052456,-16.24,-8.61,2460269.633,13.2272686,1.676,11013,12.0458,11.0108,507,13.0434,598.429,5648,4.33,1.13,CANDIDATE
6947.01,457039843,105.364062,16.369192,-6.546,-2.63,2460274.153,6.5202038,4.73,9263,16.0234,618.612,1389,11.9687,720.413,6628,4.13,1.68,CANDIDATE
